Clinic,Address,City,State,Zip,Treatment center,Detection center,Earliest facility asset created date,Earliest provider asset created date,Earliest any public asset created date,Cross-check assessment,Facility asset count,Provider photo asset count,Date source,Phone,Website,Providers
C | Lane Eye Associates,"3070 Harrodsburg Road
Suite 130, Lexington, KY 40503",Lexington,KY,40503,No,Yes,2026-06-11,2026-06-11,2026-06-11,Strong: facility/provider asset dates within 7 days,3,2,"Google Cloud Storage object timeCreated for Epioxa/Glaukos public facility and provider photo assets; proxy only, not official active date",+18596518784,https://www.claneeyeassociates.com,Kari Carpenter; Allyson Lane
Cali Eye Institute,"1739 W Avenue J, Lancaster, CA 93534",Lancaster,CA,93534,Yes,No,2026-07-10,,2026-07-10,Facility asset only,2,0,"Google Cloud Storage object timeCreated for Epioxa/Glaukos public facility and provider photo assets; proxy only, not official active date",+18312825514,https://calieye.com/locations/lancaster-eye-institute/?utm_source=google&utm_medium=organic&utm_campaign=gbp_lancaster&utm_content=website_button,
Cape Fear Eye Associates,"1726 Metro Medical Drive, Fayetteville, NC 28304",Fayetteville,NC,28304,Yes,No,2026-04-17,,2026-04-17,Facility asset only,1,0,"Google Cloud Storage object timeCreated for Epioxa/Glaukos public facility and provider photo assets; proxy only, not official active date",+19105863529,https://www.capefeareye.com,Sheel Patel
CarlinVision,"2377 Lenora Church Road, Snellville, GA 30078",Snellville,GA,30078,Yes,Yes,2026-06-16,2026-06-15,2026-06-15,Strong: facility/provider asset dates within 7 days,3,2,"Google Cloud Storage object timeCreated for Epioxa/Glaukos public facility and provider photo assets; proxy only, not official active date",+15054618235,https://www.carlinvision.com,David Carlin; Blake Thornhill
Carolina Cataract and Laser,"137 Gateway Dr., Ladson, SC 29456",Ladson,SC,29456,Yes,No,2026-04-20,2026-04-20,2026-04-20,Strong: facility/provider asset dates within 7 days,3,4,"Google Cloud Storage object timeCreated for Epioxa/Glaukos public facility and provider photo assets; proxy only, not official active date",+18433806121,http://www.carolinacataract.com/cornea-diseases-charleston/corneal-collagen-cross-linking/,David Vroman MD; Kristiana Neff; Charlene Grice; Michelle Ying
Carolina Eye Associates - Greensboro Office,"3312 Battleground Avenue, Greensboro, NC 27410",Greensboro,NC,27410,Yes,No,2026-04-15,,2026-04-15,Facility asset only,2,0,"Google Cloud Storage object timeCreated for Epioxa/Glaukos public facility and provider photo assets; proxy only, not official active date",+13365305860,,Derek Delmonte MD
Carolina Eye Physicians- North Charleston,"2861 Tricom Street, North Charleston, SC 29406",North Charleston,SC,29406,Yes,No,2026-06-23,2026-06-23,2026-06-23,Strong: facility/provider asset dates within 7 days,2,1,"Google Cloud Storage object timeCreated for Epioxa/Glaukos public facility and provider photo assets; proxy only, not official active date",+18433508609,https://carolinaeyecare.com/location/north-charleston/,Cole Milliken
Carolina Vision Center,"2047 Valleygate Drive, Fayetteville, NC 28304",Fayetteville,NC,28304,Yes,No,2026-04-22,2026-04-22,2026-04-22,Strong: facility/provider asset dates within 7 days,3,1,"Google Cloud Storage object timeCreated for Epioxa/Glaukos public facility and provider photo assets; proxy only, not official active date",+19106316261,,Michael Woodcock
Caruana Eye Care,"1164 East Oakland Park Boulevard / Suite 300, Oakland Park, FL 33334",Oakland Park,FL,33334,Yes,No,2026-07-09,2026-07-09,2026-07-09,Strong: facility/provider asset dates within 7 days,2,1,"Google Cloud Storage object timeCreated for Epioxa/Glaukos public facility and provider photo assets; proxy only, not official active date",+17623779132,https://caruanaeye.com/,Albert Caruana
Catalina Eye Care,"3925 E. Ft. Lowell Rd / Suite 100, Tucson, AZ 85712",Tucson,AZ,85712,No,Yes,2026-07-10,2026-07-10,2026-07-10,Strong: facility/provider asset dates within 7 days,1,1,"Google Cloud Storage object timeCreated for Epioxa/Glaukos public facility and provider photo assets; proxy only, not official active date",+15203410524,Catalinaeyecare.com,Ovette Villavicencio
Cataract and Vision Center of Hawaii,"1712 Liliha St / Suite 400, Honolulu, HI 96817",Honolulu,HI,96817,Yes,Yes,2026-06-29,,2026-06-29,Facility asset only,1,0,"Google Cloud Storage object timeCreated for Epioxa/Glaukos public facility and provider photo assets; proxy only, not official active date",+18087463583,cataractandvision@gmail.com,
Cavanaugh Eye Center,"6200 West 135th St, Overland Park, KS 66223",Overland Park,KS,66223,No,Yes,2026-06-24,2026-06-24,2026-06-24,Strong: facility/provider asset dates within 7 days,2,2,"Google Cloud Storage object timeCreated for Epioxa/Glaukos public facility and provider photo assets; proxy only, not official active date",+19139338194,https://lasikkansascity.com/locations/overland-park/?utm_source=gmb&utm_medium=yext,Jared Jaynes; Tim Cavanaugh
"Center For Sight - Pensacola, FL.","6190 N. Davis Hwy, Pensacola, FL 32504",Pensacola,FL,32504,Yes,No,2026-06-24,,2026-06-24,Facility asset only,1,0,"Google Cloud Storage object timeCreated for Epioxa/Glaukos public facility and provider photo assets; proxy only, not official active date",+18507067183,www.centerforsight.org,
Center For Sight - Venice,"1360 East Venice Avenue, Venice, FL 34285",Venice,FL,34285,No,Yes,2026-06-29,,2026-06-29,Facility asset only,1,0,"Google Cloud Storage object timeCreated for Epioxa/Glaukos public facility and provider photo assets; proxy only, not official active date",+19417704421,https://centerforsight.net/location/venice/?utm_campaign=Google+Business+Profile+Venice,
Center for Sight- Englewood,"1800 South McCall Road, Englewood, FL 34223",Englewood,FL,34223,No,Yes,2026-07-09,,2026-07-09,Facility asset only,1,0,"Google Cloud Storage object timeCreated for Epioxa/Glaukos public facility and provider photo assets; proxy only, not official active date",+19412562267,https://centerforsight.net/location/englewood/?utm_campaign=Google+Business+Profile+Englewood,
Center for Sight- North Port,"14844 South Tamiami Trail, North Port, FL 34287",North Port,FL,34287,No,Yes,2026-07-09,,2026-07-09,Facility asset only,1,0,"Google Cloud Storage object timeCreated for Epioxa/Glaukos public facility and provider photo assets; proxy only, not official active date",+19416810935,https://centerforsight.net/location/north-port/?utm_campaign=Google+Business+Profile+North+Port,
Center for Sight- Sarasota,"2601 S. Tamiami Trail, Sarasota, FL 34239",Sarasota,FL,34239,Yes,Yes,2026-06-29,,2026-06-29,Facility asset only,1,0,"Google Cloud Storage object timeCreated for Epioxa/Glaukos public facility and provider photo assets; proxy only, not official active date",+19413850269,https://centerforsight.net/location/sarasota/?utm_campaign=Google+Business+Profile+Sarasota,
Center for Sight- University Park,"5409 University Parkway, Bradenton, FL 34201",Bradenton,FL,34201,No,Yes,2026-07-09,,2026-07-09,Facility asset only,1,0,"Google Cloud Storage object timeCreated for Epioxa/Glaukos public facility and provider photo assets; proxy only, not official active date",+19413948054,https://centerforsight.net/location/university-park/?utm_campaign=Google+Business+Profile+University+Park,
Charlotte Contact Lens Institute,"5950 Fairview Road STE 708, Charlotte, NC 28210",Charlotte,NC,28210,No,Yes,2026-06-18,2026-06-18,2026-06-18,Strong: facility/provider asset dates within 7 days,2,2,"Google Cloud Storage object timeCreated for Epioxa/Glaukos public facility and provider photo assets; proxy only, not official active date",+15713909402,www.charlottecontactlens.com,Aerial Cerenzie; Heather Cipperly
Cherry Glen Sight & Style,"600 South Holly Street, Denver, CO 80246",Denver,CO,80246,No,Yes,2026-05-13,2026-05-13,2026-05-13,Strong: facility/provider asset dates within 7 days,3,2,"Google Cloud Storage object timeCreated for Epioxa/Glaukos public facility and provider photo assets; proxy only, not official active date",+17202921602,https://www.cherryglenvision.com/?noamp,Aaron Winstead; James Cutler
Cheyenne Vision Clinic,"1854 Dell Range Boulevard, Cheyenne, WY 82009",Cheyenne,WY,82009,No,Yes,2026-04-15,,2026-04-15,Facility asset only,2,0,"Google Cloud Storage object timeCreated for Epioxa/Glaukos public facility and provider photo assets; proxy only, not official active date",+13073815945,https://www.cheyennevisionclinic.com/,Joe Munsell
Chicago Cornea,"1585 Barrington Rd / Bldg 2 / Ste 502, Hoffman Estates, IL 60169",Hoffman Estates,IL,60169,Yes,Yes,2026-04-06,2026-04-06,2026-04-06,Strong: facility/provider asset dates within 7 days,1,3,"Google Cloud Storage object timeCreated for Epioxa/Glaukos public facility and provider photo assets; proxy only, not official active date",,https://www.chicagocornea.com/,Parag Majmudar; Neel Vaidya; Marsha Malooley; Riddhi Patel; Nicholas Blasco; Tiffany Andrzejewski; Alexander Golden; Anjali Raichura
Chicago Cornea Consultants,"1602 Central Road, Arlington Heights, IL 60005",Arlington Heights,IL,60005,No,Yes,2026-04-15,,2026-04-15,Facility asset only,1,0,"Google Cloud Storage object timeCreated for Epioxa/Glaukos public facility and provider photo assets; proxy only, not official active date",+13127785786,chicagocornea.com,"Alexander Golden; Nicholas Blasco; Anjali Raichura,; Riddhi Patel,"
Chicago Cornea Consultants,"1725 West Harrison Street, Suite 928, Chicago, IL 60612",Chicago,IL,60612,No,Yes,2026-04-15,,2026-04-15,Facility asset only,2,0,"Google Cloud Storage object timeCreated for Epioxa/Glaukos public facility and provider photo assets; proxy only, not official active date",+15312083495,https://www.chicagocornea.com/locations/chicago-office/,"Anjali Raichura; Tiffany Andrzejewski; Marsha Malooley,"
Chicago Cornea Consultants,"806 Central Ave., Highland Park, IL 60035",Highland Park,IL,60035,No,Yes,2026-04-15,,2026-04-15,Facility asset only,2,0,"Google Cloud Storage object timeCreated for Epioxa/Glaukos public facility and provider photo assets; proxy only, not official active date",+19788134633,https://www.chicagocornea.com/locations/highland-park-office/,Marsha Malooley OD FAAO FSLS; Tiffany Andrzejewski; Anjali Raichura; Nicholas Blasco; Riddhi Patel; Alexander Golden
Chico Eye Center,"3401 Esplanade, Chico, CA 95973",Chico,CA,95973,Yes,Yes,2026-07-10,2026-07-10,2026-07-10,Strong: facility/provider asset dates within 7 days,1,1,"Google Cloud Storage object timeCreated for Epioxa/Glaukos public facility and provider photo assets; proxy only, not official active date",+15308044417,https://www.chicoeye.com/,Sean Liston
Childrens Hospital of Philadelphia,"3401 Civic Center Boulevard, Philadelphia, PA 19104",Philadelphia,PA,19104,Yes,No,2026-04-15,2026-06-16,2026-04-15,Weak: facility/provider asset dates differ by more than 30 days,1,1,"Google Cloud Storage object timeCreated for Epioxa/Glaukos public facility and provider photo assets; proxy only, not official active date",+15314555149,https://www.chop.edu/,Kristin Hammersmith MD
Chino Optometry Center,"11640 Central Ave., Chino, CA 91710",Chino,CA,91710,No,Yes,2026-06-29,,2026-06-29,Facility asset only,1,0,"Google Cloud Storage object timeCreated for Epioxa/Glaukos public facility and provider photo assets; proxy only, not official active date",+19093231227,https://www.chinooptometrycenter.net/,
City Eyes Optometry Center,"4454 Van Nuys Boulevard, #C, Sherman Oaks, CA 91403",Sherman Oaks,CA,91403,No,Yes,2026-05-06,,2026-05-06,Facility asset only,2,0,"Google Cloud Storage object timeCreated for Epioxa/Glaukos public facility and provider photo assets; proxy only, not official active date",+15716883747,www.cityeyes.org,
Clarin Eyecare,"14429 South Dixie Highway, Miami, FL 33176",Miami,FL,33176,No,Yes,2026-05-28,2026-05-27,2026-05-27,Strong: facility/provider asset dates within 7 days,2,1,"Google Cloud Storage object timeCreated for Epioxa/Glaukos public facility and provider photo assets; proxy only, not official active date",+12409801793,,Leslie Scher
Clarus Eye Centre,"345 College St SE / Ste C, Lacey, WA 98503",Lacey,WA,98503,No,Yes,2026-07-09,,2026-07-09,Facility asset only,2,0,"Google Cloud Storage object timeCreated for Epioxa/Glaukos public facility and provider photo assets; proxy only, not official active date",+13603005946,http://www.claruseye.com/portfolio-post/corneal-disease-transplants/,
Clarus Eye Centre Olympia,"215 Lilly Road Northeast, Olympia, WA 98506",Olympia,WA,98506,No,Yes,2026-06-19,,2026-06-19,Facility asset only,2,0,"Google Cloud Storage object timeCreated for Epioxa/Glaukos public facility and provider photo assets; proxy only, not official active date",+13606547621,https://www.claruseye.com/lilly/,
Clear Vision San Antonio,"8002 West Ave, San Antonio, TX 78213",San Antonio,TX,78213,Yes,Yes,2026-04-15,,2026-04-15,Facility asset only,3,0,"Google Cloud Storage object timeCreated for Epioxa/Glaukos public facility and provider photo assets; proxy only, not official active date",+12103612315,https://www.clearvisionsanantonio.com,Ricardo Sepulveda; Robert Green MD; Christian Lopez OD
Clearview Family Eyecare,"618 Oakleaf Office Lane, Memphis, TN 38117",Memphis,TN,38117,No,Yes,2026-05-22,2026-05-22,2026-05-22,Strong: facility/provider asset dates within 7 days,2,1,"Google Cloud Storage object timeCreated for Epioxa/Glaukos public facility and provider photo assets; proxy only, not official active date",+19016889492,cfememphis.com,Seth Salley
Cohen Laser & Vision Center,"3020 North Military Trail, Boca Raton, FL 33431",Boca Raton,FL,33431,Yes,Yes,2026-04-15,,2026-04-15,Facility asset only,2,0,"Google Cloud Storage object timeCreated for Epioxa/Glaukos public facility and provider photo assets; proxy only, not official active date",+15616581367,cohenvision.com,Joshua Cohen; Tracy Kimmelman
Cohenmehr Optometry,"12222 Wilshire Boulevard, Unit 105, Los Angeles, CA 90025",Los Angeles,CA,90025,No,Yes,2026-05-06,,2026-05-06,Facility asset only,2,0,"Google Cloud Storage object timeCreated for Epioxa/Glaukos public facility and provider photo assets; proxy only, not official active date",+14056493602,cohenmehreye.com,
Colorado Eye Institute,"9320 Grand Cordera Pkwy / STE 255, Colorado Springs, CO 80924",Colorado Springs,CO,80924,Yes,Yes,2026-04-15,,2026-04-15,Facility asset only,3,0,"Google Cloud Storage object timeCreated for Epioxa/Glaukos public facility and provider photo assets; proxy only, not official active date",+17192993752,http://eyescolorado.com/,James Lee
Columbus Eyeworks,"25 West Hubbard Avenue, Columbus, OH 43215",Columbus,OH,43215,No,Yes,2026-06-05,2026-06-05,2026-06-05,Strong: facility/provider asset dates within 7 days,3,1,"Google Cloud Storage object timeCreated for Epioxa/Glaukos public facility and provider photo assets; proxy only, not official active date",+17855083781,columbuseyeworks.com,Kurt Bennett
Comprehensive Eye Care of Central Ohio,"450 Alkyre Run Road / Suite 100, Westerville, OH 43082",Westerville,OH,43082,Yes,Yes,2026-04-17,2026-04-17,2026-04-17,Strong: facility/provider asset dates within 7 days,3,1,"Google Cloud Storage object timeCreated for Epioxa/Glaukos public facility and provider photo assets; proxy only, not official active date",+16144900892,https://www.compeyecare.com,Kenneth Beckman; Jennifer Steineman; Katie Wulff; Tatiana Hammond; Stacy Schonberg; Jaclyn Paskiet; Zachary Coates
Connecticut Eye Specialists,"4 Corporate Drive # 380, Shelton, CT 06484",Shelton,CT,06484,Yes,No,2026-04-09,,2026-04-09,Facility asset only,2,0,"Google Cloud Storage object timeCreated for Epioxa/Glaukos public facility and provider photo assets; proxy only, not official active date",+16067551647,cteyespecialists.com,
