Clinic,Address,City,State,Zip,Treatment center,Detection center,Currently live in latest run,First seen by monitor,Last seen by monitor,Phone,Website,Providers,Epioxa facility ID
Danville Eye Center,"104 Smoky Way 
#100, Danville, KY 40422",Danville,KY,40422,No,Yes,No,2026-07-14T02:12:15.966Z,2026-08-26T12:38:49+00:00,+18593950952,https://www.danvilleeyecenter.com,Mike Smith,dd1ca571-1b76-4d3d-a467-f539f9e24a19
EyeCare Associates,"8436 Vaughn Road, Montgomery, AL 36117",Montgomery,AL,36117,No,Yes,No,2026-08-06T13:50:19+00:00,2026-08-29T16:02:50+00:00,+13344233651,https://www.webeca.com/,"Benjamin Harris; Frederick ""Rick"" Jackson",5fe5f676-3ac5-4f77-aad8-b5d357a2cd06
Friedrichs Family Eye Center,"723 Piney Forest Road
Suite 103, Danville, VA 24540",Danville,VA,24540,No,Yes,No,2026-09-12T14:48:55+00:00,2026-09-12T14:48:55+00:00,+14344488202,https://www.friedrichsfamilyeyecenter.com/,"Peyton Simpson OD, FAAO; Mary Kathryn Zak OD; Michael Jennings OD; Michael Ford OD, FAAO; Gray Friedrichs OD; Casey Ramirez Cortes OD; Jill Christian-Friedrichs OD",39f9ddbe-e409-414f-b736-3dbea9635f39
Friedrichs Family Eye Center,"1975 Virginia Avenue, Martinsville, VA 24112",Martinsville,VA,24112,No,Yes,No,2026-08-27T21:34:51+00:00,2026-09-12T14:48:55+00:00,+12762657224,www.friedrichsfamilyeyecenter.com,"Peyton Simpson OD, FAAO; Gray Friedrichs OD; Casey Ramirez Cortes OD; Jill Christian-Friedrichs OD",4aa4b9ad-a50b-4fc1-8ecf-336579d05c60
Graystone Eye,"2640 North Carolina 105, Boone, NC 28607",Boone,NC,28607,No,Yes,No,2026-08-02T13:06:35+00:00,2026-08-03T14:25:18+00:00,+15074458153,graystone-eye.com,Kayli Standridge,b26df1c1-26ef-4b27-b9d8-7b169187c5ce
GW Eye Associates,"7841 Fay Avenue, San Diego, CA 92037",San Diego,CA,92037,No,Yes,No,2026-08-11T12:49:25+00:00,2026-09-11T15:41:27+00:00,+18588676184,www.gweye.com,,ba25e340-1efb-40bf-bdbb-a5493545da5c
Horvath Vision Care Northwoods,"180 Northwoods Boulevard, Columbus, OH 43235",Columbus,OH,43235,No,Yes,No,2026-07-23T00:58:32+00:00,2026-07-23T02:10:23+00:00,+18158814070,horvathvisionnorthwoods.com,Rebecca Lugar; Breanna Williams; Lara Leach; Katie Simonovich; Wasim Sleiman; Jamie Horvath; Mark Horvath,d8cf34c2-8ce1-4779-a532-c211d5d4d3c6
Kirkwood Eye Associates,"200 South Kirkwood Road, Kirkwood, MO 63122",Kirkwood,MO,63122,No,Yes,No,2026-08-27T21:34:51+00:00,2026-08-27T21:34:51+00:00,+13144611661,kirkwoodeye.com,Andrew Biondo; Jessica TU OD,0d12550d-2052-4875-992c-fac72e717064
La Mesa Vision Care,"8007 La Mesa Boulevard, La Mesa, CA 91942",La Mesa,CA,91942,No,Yes,No,2026-09-10T15:39:58+00:00,2026-09-13T15:26:55+00:00,+16198151617,https://www.lamesavisioncare.com/,,8c513f79-e8dd-4b3e-9fa9-548b48b07d1f
Laser Vision Correction Center of New Jersey,"16 South Jefferson Road, Hanover, NJ 07981",Hanover,NJ,07981,No,Yes,No,2026-08-01T13:05:04+00:00,2026-09-08T15:49:00+00:00,+19733544536,https://lasikcenternj.com/,Christina Benn OD,867ed5f7-48e9-4546-86ab-1b6fc55eea49
Mount Airy Medical Eye Center,"1401 Ridge Court, Mount Airy, MD 21771",Mount Airy,MD,21771,No,Yes,No,2026-07-22T01:05:31+00:00,2026-09-04T15:35:28+00:00,+13016354257,https://www.mountairymedicaleyecenter.com/,,c6c40821-4a07-4499-af23-63a523db30b1
Normandy Optical - Rochester,"137 South Livernois Road, Rochester Hills, MI 483071837",Rochester Hills,MI,483071837,No,Yes,No,2026-07-23T00:58:32+00:00,2026-07-29T13:54:58+00:00,+19129152663,https://www.normandyoptical.com/locations/rochester-hills,,659e088d-0fb5-4075-8576-cce22a27f0c3
Northeast Ohio Eye Surgeons - Akron (Valley),"1558 Akron Peninsula Road, Akron, OH 44313",Akron,OH,44313,No,Yes,No,2026-08-27T21:34:51+00:00,2026-09-13T15:26:55+00:00,+13306210346,,,8b829332-0a0d-4989-b3f2-5d2dcf77063b
Northern Virginia Doctors of Optometry - Rosslyn,"1700 North Moore Street, Arlington, VA 22209",Arlington,VA,22209,No,Yes,No,2026-09-01T15:54:53+00:00,2026-09-02T15:47:33+00:00,+17627445460,https://novaeyedocs.com/,,51d936c9-746a-4360-961c-36f10c6f35d8
Old Towne Optometry,"18291 Imperial Highway, Yorba Linda, CA 92886",Yorba Linda,CA,92886,No,Yes,No,2026-09-05T14:23:11+00:00,2026-09-09T15:44:51+00:00,+12545876367,https://www.oldtowneoptometry.com/,,f682ef71-2ce5-47fe-83cd-c9e6ada9d7fa
Ophthalmology Consultants,"12990 Manchester Road / Suite 201, St Louis, MO 63131",St Louis,MO,63131,No,Yes,No,2026-08-27T21:34:51+00:00,2026-09-08T15:49:00+00:00,+13143505150,,Steven Lee MD; Erin Sullivan; Michelle Derheimer; Joseph Gira,6130f387-d5ed-4081-bfe1-f2ac54527706
Ross Eye Institute,"1176 Main Street, buffalo, NY 14209",buffalo,NY,14209,No,Yes,No,2026-08-19T12:33:15+00:00,2026-09-11T15:41:27+00:00,+17163005729,https://www.rosseye.com/,,77adaade-0ccc-4969-a1a2-60852761bbdf
Sight MD Babylon,"500 West Main Street / Suite 210, Babylon, NY 11702",Babylon,NY,11702,No,Yes,No,2026-08-05T13:52:29+00:00,2026-09-11T15:41:27+00:00,+16318372629,https://www.sightmd.com/locations/babylon/?utm_source=gmb&utm_medium=local_listings,Eric Rosenberg; Michael Lamonica; Alanna Natis,130b33fc-ef36-4e67-b1a9-66ece8910156
SightMD Plainview,"100 Manetto Hill Road, Plainview, NY 11803",Plainview,NY,11803,No,Yes,No,2026-08-27T21:34:51+00:00,2026-09-10T15:39:58+00:00,+15167155479,https://www.sightmd.com/our-doctors/madhavi-jaspal-od/,Madhavi Jaspal,d74fc2dd-0d94-4e84-bf9f-79fc21adfa3b
Spectrum Optical - Bridgeport Location,"45 Professional Place
Suite 200, Bridgeport, WV 26330",Bridgeport,WV,26330,No,Yes,No,2026-07-14T02:12:15.966Z,2026-09-03T15:37:04+00:00,+13048234472,www.spectrumoptical.com,Tyler Kerr OD; Cynthia Zwolensky OD,4c722939-9d81-47d0-b105-d2aaa5e20fc0
Tulman Eye Group,"880 Crestmark Drive, Lithia Springs, GA 30122",Lithia Springs,GA,30122,No,Yes,No,2026-07-22T01:05:31+00:00,2026-08-26T12:38:49+00:00,+16206302406,https://visionsource-tulmaneyegroup.com/,Bryan Truong; Mehrdad Saadat,cc318f2b-70f0-43ea-a8cc-52acb6d55583
Visionary Eye Clinic,"1600 Grand Central Avenue, Vienna, WV 26105",Vienna,WV,26105,No,Yes,No,2026-08-27T21:34:51+00:00,2026-08-31T18:35:54+00:00,+13043375930,,Kayla Campbell OD; Katie Palmer OD,2aab9f86-3061-4a89-b5d6-46fdfee9273c
Vistar Eye Center - Botetourt,"70 Summerfield Court, Roanoke, VA 24019",Roanoke,VA,24019,No,Yes,No,2026-08-08T12:34:16+00:00,2026-09-09T15:44:51+00:00,+15405834233,https://www.vistareye.com/locations/botetourt/,Mac Scothorn OD,b1242083-ce47-4613-ab04-0849b3a0ae40
Washington Eye Doctors,"5454 Wisconsin Avenue, Chevy Chase, MD 20815",Chevy Chase,MD,20815,No,Yes,No,2026-08-01T13:05:04+00:00,2026-09-08T15:49:00+00:00,+12605303652,https://www.washingtoneyedoctors.com/chevy-chase-eye-doctor/?utm_source=OffSite&utm_medium=GMB,,e3959d6f-f4bd-4c68-9aa5-d9f9b13ba35a
Western University Eye Care Institute,"309 East 2nd Street, Pomona, CA 91766",Pomona,CA,91766,No,Yes,No,2026-08-27T21:34:51+00:00,2026-09-02T15:47:33+00:00,+19094984183,https://www.westernu.edu/,,aa4a919e-a68e-4a19-84fd-de942d5fec9c
Wilmington Eye,"1176 East Cutlar Crossing, Leland, NC 28451",Leland,NC,28451,No,Yes,No,2026-08-27T21:34:51+00:00,2026-09-11T15:41:27+00:00,+19109363876,www.wilmingtoneye.com,Madeline Brillhart,7257b914-ce14-4a91-b35b-55455d94712b
Wilmington Eye,"9020 Senca Drive, Wilmington, NC 28411",Wilmington,NC,28411,No,Yes,No,2026-08-27T21:34:51+00:00,2026-09-11T15:41:27+00:00,+19105970332,www.wilmingtoneye.com,Madeline Brillhart,e3cb8ad6-cb75-480e-8113-e7e9114b9f45
