Clinic,Address,City,State,Zip,Treatment center,Detection center,Currently live in latest run,First seen by monitor,Last seen by monitor,Phone,Website,Providers,Epioxa facility ID
Boston Vision,"159 River Road, Andover, MA 01810",Andover,MA,01810,No,Yes,Yes,2026-07-18T21:18:20+00:00,2026-08-29T16:02:50+00:00,+16177444017,https://www.bostonvision.com/services/cornea/corneal-cross-linking/?dlmtrk_referrer=https%3A%2F%2Fwww.google.com%2F&dlmtrk_landing=https%3A%2F%2Fwww.bostonvision.com%2Fpatient-resources%2Fpatient-portal%2F&dlmtrk_source=google_organic,Emily Nangle OD,56f9454e-17ea-4128-a269-bebe7ff7f538
Boston Vision,"25 Marston Street
Marston Medical Building Suite 104, Lawrence, MA 01841",Lawrence,MA,01841,No,Yes,No,2026-07-22T01:05:31+00:00,2026-08-27T21:34:51+00:00,+19377525492,https://www.bostonvision.com/services/cornea/corneal-cross-linking,Alexander Martin OD,7e1a4622-6fec-4c38-9740-1a7949dbb98f
Boston Vision,"200 Fortune Boulevard, Milford, MA 01757",Milford,MA,01757,No,Yes,Yes,2026-07-18T21:18:20+00:00,2026-08-29T16:02:50+00:00,+16179586040,https://www.bostonvision.com/services/cornea/corneal-cross-linking,Nirali Patel OD,0ccab1d5-c0d2-40ba-8e20-7b7ef37efa02
Boston Vision,"204 Worcester Street, Wellesley, MA 02481",Wellesley,MA,02481,No,Yes,Yes,2026-07-18T21:18:20+00:00,2026-08-29T16:02:50+00:00,+16206223356,https://www.bostonvision.com/services/cornea/corneal-cross-linking,Yen Nguyen OD,53c29ab2-50ef-45d1-add8-1b87d25e2841
Bright Eyes Optical New Rochelle,"177 B East Main Street, New Rochelle, NY 10801",New Rochelle,NY,10801,No,Yes,No,2026-07-23T00:58:32+00:00,2026-08-04T13:55:18+00:00,+19145439989,www.brighteyesny.com,Sumati Deutscher,14c3edce-0d06-491d-95aa-b754c7596325
California Oaks Vision Center,"24640 Jefferson Avenue Suite 100, Murrieta, CA 92562",Murrieta,CA,92562,No,Yes,Yes,2026-07-28T13:49:51+00:00,2026-08-29T16:02:50+00:00,+19516696149,www.visionsource-murrieta.com,,43bd3872-68d2-4a57-9304-fe839ecfe35f
Carolina Vision Care,"1804 West Arlington Boulevard, Greenville, NC 27834",Greenville,NC,27834,No,Yes,No,2026-07-28T13:49:51+00:00,2026-08-04T13:55:18+00:00,+12523583330,www.carolinavisioncare.com,Scott McIntosh OD; Thomas McIntosh OD; Lady B. Aycock OD,b4b695bc-589a-4037-8264-63ab49c650b9
Catalina Eye Care - Oro Valley,"10281 North Oracle Road, Tucson, AZ 85737",Tucson,AZ,85737,No,Yes,Yes,2026-07-18T21:18:20+00:00,2026-08-29T16:02:50+00:00,+15206755177,Catalinaeyecare.com,Luis Antillon OD; Leslie Wintraub OD,141c6cd4-e08b-40a2-b72b-ad0ba10520d8
Chicago Arbor Eye Institute,"9731 W. 165th St / Ste 31, Orland Park, IL 60467",Orland Park,IL,60467,Yes,No,Yes,2026-07-30T13:44:50+00:00,2026-08-29T16:02:50+00:00,+19785747319,https://www.arboreyecare.com/content/our-specialities,Ravi Shah; Fatima Ali,2f14b003-ae25-44f5-bde9-a68eed1bf606
Chroma-Optics Burlington,"370 Shelburne Road, Burlington, VT 05401",Burlington,VT,05401,No,Yes,Yes,2026-07-18T21:18:20+00:00,2026-08-29T16:02:50+00:00,+18022147460,chromaoptics.com,,efb9a43a-1a74-4f11-8bb6-22347d32f358
Clear Vision San Antonio - Stone Oak,"1314 East Sonterra Boulevard Suite 2103, San Antonio, TX 78258",San Antonio,TX,78258,No,Yes,Yes,2026-07-28T13:49:51+00:00,2026-08-29T16:02:50+00:00,+12109085073,https://www.clearvisionsanantonio.com/locations/san-antonio-stone-oak/?y_source=1_MjAyNTg5NDYyOC03MTUtbG9jYXRpb24ud2Vic2l0ZQ%3D%3D,Ricardo Sepulveda; Robert Green MD; Christian Lopez OD,d473e426-57bd-4c64-a92e-7b006498bab9
Clemmons Family Eye Care,"6301 Stadium Drive, Clemmons, NC 27012",Clemmons,NC,27012,No,Yes,Yes,2026-08-16T12:25:42+00:00,2026-08-29T16:02:50+00:00,+13368279967,www.clemmonsfamilyeyecare.com,Tyler Groce,0cb4d713-6e72-404c-89d4-ee70fb0dfceb
Clemson Eye,"22995 U.S. 76, Clinton, SC 29325",Clinton,SC,29325,No,Yes,Yes,2026-08-27T21:34:51+00:00,2026-08-29T16:02:50+00:00,+18645489459,,Matthew Stolz,8c852a81-9fea-4184-842a-6a094c9ad6f5
Clinton Eye Associates,"116 E Main ST, Clinton, CT 06413",Clinton,CT,06413,No,Yes,No,2026-08-28T21:38:28+00:00,2026-08-28T21:38:28+00:00,+18606153787,https://www.clintoneye.com,,a1f929c0-ae7e-49d0-81ba-7a535ad43626
Compton & Compton Eye Care,"1111 Nashville Road, Franklin, KY 42134",Franklin,KY,42134,No,Yes,No,2026-07-22T01:05:31+00:00,2026-08-26T12:38:49+00:00,+12706828474,https://visionsource-fseyecare.com/,Alex Compton OD; Steve Compton,b767ecd4-1514-41cb-add4-82ffaa4cd7ae
Cornea and Cataract of Tucson,"6422 E. Speedway / Suite 100, Tucson, AZ 85710",Tucson,AZ,85710,No,Yes,Yes,2026-07-18T21:18:20+00:00,2026-08-29T16:02:50+00:00,+15205040245,https://www.corneatucson.com/,Ann McColgin MD; Mingwu Wang MD; Bohan Xing MD,79f2f423-5d1e-4b4a-a5ba-1a6d926aae26
Emplify Health,"3111 Gundersen Dr,, Onalaska, WI 54650",Onalaska,WI,54650,Yes,Yes,Yes,2026-08-11T12:49:25+00:00,2026-08-29T16:02:50+00:00,+16082994458,,,e7e71751-216d-4e47-8586-8e62303e5da0
"Eye Center, Inc.","2003 Cortez Road West, Bradenton, FL 34207",Bradenton,FL,34207,No,Yes,Yes,2026-08-14T12:51:38+00:00,2026-08-29T16:02:50+00:00,+19413930859,,Brad Laudicina; Madison Easterling,b705f866-4525-4838-a345-0586efcdd63e
Eye Rx Chevy Chase,"4600 North Park Avenue, Chevy Chase, MD 20815",Chevy Chase,MD,20815,No,Yes,No,2026-07-22T01:05:31+00:00,2026-08-24T12:35:44+00:00,+16592562807,https://www.eyerxchevychase.com/?utm_source=google&utm_medium=organic&utm_campaign=gbp&utm_content=website_link,,bf0e7b11-ff24-4691-8312-159051386ff3
Eye Theory Stone Oak,"115 North Loop 1604 East Suite 1103, San Antonio, TX 78232",San Antonio,TX,78232,No,Yes,Yes,2026-07-30T13:44:50+00:00,2026-08-29T16:02:50+00:00,+12765826184,https://www.eyetheory.com,Sanjay Nancherla,f5369969-e029-472d-8f94-dcefbff60020
EyeCare Associates,"8436 Vaughn Road, Montgomery, AL 36117",Montgomery,AL,36117,No,Yes,Yes,2026-08-06T13:50:19+00:00,2026-08-29T16:02:50+00:00,+13344233651,https://www.webeca.com/,"Benjamin Harris; Frederick ""Rick"" Jackson",5fe5f676-3ac5-4f77-aad8-b5d357a2cd06
EyeCare Specialties Lincoln,"2943 Pine Lake Road, Lincoln, NE 68516",Lincoln,NE,68516,No,Yes,Yes,2026-08-22T12:25:34+00:00,2026-08-29T16:02:50+00:00,+15312234819,,Krystal Rogge; Brian Brightman OD,cba2f288-c835-4582-9b29-f2e7b8134109
Family Vision Center,"3175 South State Road 7, Wellington, FL 33449",Wellington,FL,33449,No,Yes,Yes,2026-07-25T13:10:49+00:00,2026-08-29T16:02:50+00:00,+15612090499,https://www.fvcenter.com/?utm_source=gbp&utm_medium=organic,Lori Mazza; Kara Hayes,6b732cfa-b72c-4226-85d9-8efaf125dd18
First Sight Vision Care,"8115 Maple Lawn Boulevard, Fulton, MD 20759",Fulton,MD,20759,No,Yes,Yes,2026-08-05T13:52:29+00:00,2026-08-29T16:02:50+00:00,+15722340167,https://www.firstsightvisioncare.com/,,a69316be-1995-446f-93d2-18f8b8c434d0
Five Points Eyecare,"698 South Milledge Avenue, Athens, GA 30605",Athens,GA,30605,No,Yes,Yes,2026-08-27T21:34:51+00:00,2026-08-29T16:02:50+00:00,+17065285353,fivepointseyecare.com,Nadine Humen Forche,bc201267-26a1-4267-b2b2-66a044fab7c9
Friedrichs Family Eye Center,"1975 Virginia Avenue, Martinsville, VA 24112",Martinsville,VA,24112,No,Yes,Yes,2026-08-27T21:34:51+00:00,2026-08-29T16:02:50+00:00,+12762657224,www.friedrichsfamilyeyecenter.com,"Peyton Simpson OD, FAAO; Gray Friedrichs OD; Casey Ramirez Cortes OD; Jill Christian-Friedrichs OD",4aa4b9ad-a50b-4fc1-8ecf-336579d05c60
Geisinger Healthplex Centerpoint,"1201 Oak Street, Pittston, PA 18640",Pittston,PA,18640,Yes,No,Yes,2026-07-24T13:24:06+00:00,2026-08-29T16:02:50+00:00,+15707745541,,Steve Carrubba MD,e5733aa8-3791-48cb-8cfb-a1df5acdc679
Gowri Pachigolla,"634 Uptown Blvd, Cedar Hill, TX 75104",Cedar Hill,TX,75104,Yes,Yes,Yes,2026-07-18T21:18:20+00:00,2026-08-29T16:02:50+00:00,+17744486442,https://www.texaseyes.com/,Jamie Gold,cf961061-8be3-4f7d-a50b-8afb1ec43155
Graystone Eye,"2640 North Carolina 105, Boone, NC 28607",Boone,NC,28607,No,Yes,No,2026-08-02T13:06:35+00:00,2026-08-03T14:25:18+00:00,+15074458153,graystone-eye.com,Kayli Standridge,b26df1c1-26ef-4b27-b9d8-7b169187c5ce
Graystone Eye,"2424 Century Place SE, Hickory, NC 28602",Hickory,NC,28602,Yes,Yes,Yes,2026-07-29T13:54:58+00:00,2026-08-29T16:02:50+00:00,+12184266198,https://www.graystone-eye.com/cornea-services/,Jacob Keener; Heather Day; Ralph Oursler; Richard Chang,56e88bbf-e52f-4fe1-91a9-6d72f02eac21
Grene Vision Group,"3910 N. Ridge Rd., Wichita, KS 67205",Wichita,KS,67205,No,Yes,Yes,2026-08-22T12:25:34+00:00,2026-08-29T16:02:50+00:00,+13168371857,,Anthony Taylor OD; Martin de la Presa,c7216ffb-5b2b-48b3-9f05-7935b043b1ba
Grin Eye Care Brookside,"520 East 63rd Street, Kansas City, MO 64110",Kansas City,MO,64110,No,Yes,Yes,2026-08-22T12:25:34+00:00,2026-08-29T16:02:50+00:00,+19134212626,https://www.grineyecare.com/locations/brookside,Hannah Fann OD,75655ec7-4f1e-4032-a345-1ba0cd2258cf
GW Eye Associates,"7841 Fay Avenue, San Diego, CA 92037",San Diego,CA,92037,No,Yes,Yes,2026-08-11T12:49:25+00:00,2026-08-29T16:02:50+00:00,+18588676184,www.gweye.com,,ba25e340-1efb-40bf-bdbb-a5493545da5c
Harborview Medical Center,"PO Box 50009, Seattle, WA 98145",Seattle,WA,98145,No,Yes,Yes,2026-07-18T21:18:06+00:00,2026-08-29T16:02:50+00:00,+12295543108,https://www.uwmedicine.org/locations/harborview-medical-center?utm_source=extnet&utm_medium=organic&utm_campaign=website_clicks&y_source=1_MTAwNDcxNDM0Ni03MTUtbG9jYXRpb24ud2Vic2l0ZQ%3D%3D,,2ae754fc-1a01-4c67-82c6-3373b8d44398
Harvard Eye Associates,"3500 Barranca Pkwy / Suite 290, Irvine, CA 92606",Irvine,CA,92606,Yes,Yes,Yes,2026-07-18T21:18:20+00:00,2026-08-29T16:02:50+00:00,+19492032644,http://www.harvardeye.com/services/specialty-eye-care/keratoconus/,,51b0a25d-186c-495f-a863-64732e73fd48
Hill Vision Services,"12601 Olive Blvd, Creve Coeur, MO 63141",Creve Coeur,MO,63141,No,Yes,Yes,2026-08-27T21:34:51+00:00,2026-08-29T16:02:50+00:00,+13149483943,http://www.hillvisionservices.com/services/cornea-services/corneal-transplant-surgery/,Goeffery Hill; Timothy Blankenship OD,c0c1b01b-1f74-43b6-ba2f-3efc659d8909
Horvath Vision Care Northwoods,"180 Northwoods Boulevard, Columbus, OH 43235",Columbus,OH,43235,No,Yes,No,2026-07-23T00:58:32+00:00,2026-07-23T02:10:23+00:00,+18158814070,horvathvisionnorthwoods.com,Rebecca Lugar; Breanna Williams; Lara Leach; Katie Simonovich; Wasim Sleiman; Jamie Horvath; Mark Horvath,d8cf34c2-8ce1-4779-a532-c211d5d4d3c6
Idaho Eye and Laser Center,"2025 E 17th St., Idaho Falls, ID 83404",Idaho Falls,ID,83404,Yes,Yes,Yes,2026-08-27T21:34:51+00:00,2026-08-29T16:02:50+00:00,+12082719374,,Shane Wynn; Bradley Gardner M.D.; Spencer Harris MD; Kurt Hepworth,9fa28ace-4e73-4b44-ac83-f77f735e4ada
Idaho Eye and Laser Center,"426 Parkview Loop East, Twin Falls, ID 83301",Twin Falls,ID,83301,No,Yes,Yes,2026-08-27T21:34:51+00:00,2026-08-29T16:02:50+00:00,+12089238324,,Bradley Gardner M.D.; Spencer Harris MD; James Davis,50e28b7e-e758-4a9c-a37c-8fe26d13fd50
Kings Highway Vision Center,"1302 Kings Highway, Brooklyn, NY 11229",Brooklyn,NY,11229,No,Yes,No,2026-08-14T12:51:38+00:00,2026-08-23T12:26:17+00:00,+13186598780,https://www.kingshighwayvisioncenter.com/,Olga Alekberov,4a11aa6f-5ee2-4716-9341-016cd4dea5d5
Kirkwood Eye Associates,"200 South Kirkwood Road, Kirkwood, MO 63122",Kirkwood,MO,63122,No,Yes,No,2026-08-27T21:34:51+00:00,2026-08-27T21:34:51+00:00,+13144611661,kirkwoodeye.com,Andrew Biondo; Jessica TU OD,0d12550d-2052-4875-992c-fac72e717064
Lake Vision Optometry,"25321 Railroad Canyon Road #503, Lake Elsinore, CA 92532",Lake Elsinore,CA,92532,No,Yes,Yes,2026-08-27T21:34:51+00:00,2026-08-29T16:02:50+00:00,+19517203234,https://www.lakevisionoptometry.com/,,dac01437-691d-45f7-bd20-123592947c65
Laser Vision Correction Center of New Jersey,"16 South Jefferson Road, Hanover, NJ 07981",Hanover,NJ,07981,No,Yes,Yes,2026-08-01T13:05:04+00:00,2026-08-29T16:02:50+00:00,+19733544536,https://lasikcenternj.com/,Christina Benn OD,867ed5f7-48e9-4546-86ab-1b6fc55eea49
Lenscrafters Cascade Station,"10021 Northeast Cascades Parkway, Portland, OR 97220",Portland,OR,97220,No,Yes,Yes,2026-08-04T13:55:18+00:00,2026-08-29T16:02:50+00:00,+15039873415,https://local.lenscrafters.com/or/portland/10021-ne-cascades-parkway.html?cid=yext_E897&y_source=1_MTc4Nzc1MjItNzE1LWxvY2F0aW9uLndlYnNpdGU%3D,,32430a76-608f-4664-bc8f-d0a54af2a42c
Littleton Family Eyecare,"1869 West Littleton Boulevard, Littleton, CO 80120",Littleton,CO,80120,No,Yes,Yes,2026-08-01T13:05:04+00:00,2026-08-29T16:02:50+00:00,+18454156491,https://littletonfamilyeyecare.com/,,76898d3a-9d8e-4ea4-ad90-cfdf01af95f7
Look Optometric,"17400 Irvine Boulevard Suite N, Tustin, CA 92780",Tustin,CA,92780,No,Yes,Yes,2026-08-27T21:34:51+00:00,2026-08-29T16:02:50+00:00,+17147108853,https://www.lookoptometric.com/,,c60afcb2-5c5b-44f0-ba8c-8b30bd6de6c6
Meadows Eye Physicians and Surgeons,"1090 East Desert Inn Road, Las Vegas, NV 89109",Las Vegas,NV,89109,No,Yes,Yes,2026-08-21T12:33:35+00:00,2026-08-29T16:02:50+00:00,+12707139469,https://meadowseye.com,Jonathan Peterson MD,e16b1640-2e00-43de-ada5-5399df17fd85
Medical University of South Carolina,"167 Ashley Avenue, Charleston, SC 29425",Charleston,SC,29425,Yes,No,Yes,2026-08-27T21:34:51+00:00,2026-08-29T16:02:50+00:00,+18436043283,,"Karen Fernadez; Larissa Gouvea; Karolinne Rocha M.D., Ph.D.",3b54dccd-e28a-4dc3-a372-84c7afab1047
Menard Eye Center,"4315 Lake Street, Lake Charles, LA 70605",Lake Charles,LA,70605,No,Yes,Yes,2026-07-30T13:44:50+00:00,2026-08-29T16:02:50+00:00,+13374694755,,,dae27ffe-f0e3-4d1c-a09a-3a76b8bdc3a8
Michigan Eye Institute - Lake Orion,"1240 South Lapeer Road, Orion Township, MI 48360",Orion Township,MI,48360,No,Yes,No,2026-08-01T13:05:04+00:00,2026-08-19T12:33:15+00:00,+12489650396,https://mieye.com/lake-orion/,,43996f7e-00cc-4dc7-b631-b321f6d0b7cb
Midwestern University Eye Clinic,"5865 West Uptopia Road, Glendale, AZ 85308",Glendale,AZ,85308,Yes,Yes,Yes,2026-08-01T13:05:04+00:00,2026-08-29T16:02:50+00:00,+16232409437,https://clinics.midwestern.edu/glendale-clinics/eye-institute-az,Robert Fintelmann MD FACS; Wendy Huang MD,959ccbee-0230-49e5-b33d-ac025f5a7854
Midwestern University Optical,"19555 N 59th Ave, Glendale, AZ 85308",Glendale,AZ,85308,No,Yes,Yes,2026-07-31T13:50:30+00:00,2026-08-29T16:02:50+00:00,+16234555539,http://midwestern.edu,Daniel Deligio; Kevin Helmuth; Taylor Bosch; Sarah Huff; Jasandeep Uppal; Rimpi Narwhal; Michael Bogaard; Rachel Stephan; Christopher Lowe; Elizabeth Escobedo; Pierce Kenworthy; Alicia Feis; Aron Piranio; Cori Jones; Ashley Olson; Grace Liao; Sylvia Panora; Michael Kozlowski; Renee Doss; Patricia Bogaard; Eric Woo; Krupa Patel; Sarah Thomas; Megan Baker,8c686c4f-f8f8-443e-ac5c-0a2ff1774650
Modern Eyes Optometry - Ala Moana,"1450 Ala Moana Boulevard, Honolulu, HI 96814",Honolulu,HI,96814,No,Yes,Yes,2026-07-18T21:18:20+00:00,2026-08-29T16:02:50+00:00,+18088622748,https://himoderneyes.com/,,8d418934-0ee7-47ff-add5-2c6427ad8eba
Modern Eyes Optometry - Lenscrafters at Pearlridge,"98-1005 Moanalua Road, Aiea, HI 96701",Aiea,HI,96701,No,Yes,Yes,2026-07-22T01:05:31+00:00,2026-08-29T16:02:50+00:00,+18085158616,https://himoderneyes.com/,,d97fe7b8-db20-409f-b3b6-4a06d2949b9b
Mount Airy Medical Eye Center,"1401 Ridge Court, Mount Airy, MD 21771",Mount Airy,MD,21771,No,Yes,No,2026-07-22T01:05:31+00:00,2026-08-17T12:30:43+00:00,+13016354257,https://www.mountairymedicaleyecenter.com/,,c6c40821-4a07-4499-af23-63a523db30b1
Murrieta Creek Optometry,"39252 Winchester Road, Murrieta, CA 92563",Murrieta,CA,92563,No,Yes,Yes,2026-08-27T21:34:51+00:00,2026-08-29T16:02:50+00:00,+19515972688,https://murrietacreekoptometry.com/,,be214a54-0477-4378-b84a-aeb7449e74ab
NEOES -Streetsboro,"1155 Ohio 303, Streetsboro, OH 44241",Streetsboro,OH,44241,No,Yes,Yes,2026-08-27T21:34:51+00:00,2026-08-29T16:02:50+00:00,+13307364354,,,3d823915-9adb-464b-8437-6b70dae999af
Nielsen Eye Center,"300 Congress St, Quincy, MA 02169",Quincy,MA,02169,No,Yes,Yes,2026-07-18T21:18:20+00:00,2026-08-29T16:02:50+00:00,+16173797826,https://www.golasik.net/medical-surgical/crosslinking-and-keratoconus/,Helen Moreira MD; Nitasha Khanna MD; Maria Lopez MD,a258c907-bf36-4cec-9351-e179a562ea7a
NJ Eye and Ear,"1016 Main Avenue, Clifton, NJ 07011",Clifton,NJ,07011,No,Yes,Yes,2026-07-18T21:18:20+00:00,2026-08-29T16:02:50+00:00,+19737917083,https://www.njeyeandear.com,Karina Puleo; Jennifer Ariola; Wae Shin; Idil Bilgin; Lauren Rosato; Tina Choe; Joseph Szorentini; Jimmy Hu,15509a6c-b3b2-4f27-8e0e-a3e4548cbdc7
Normandy Optical - Rochester,"137 South Livernois Road, Rochester Hills, MI 483071837",Rochester Hills,MI,483071837,No,Yes,No,2026-07-23T00:58:32+00:00,2026-07-29T13:54:58+00:00,+19129152663,https://www.normandyoptical.com/locations/rochester-hills,,659e088d-0fb5-4075-8576-cce22a27f0c3
Northeast Ohio Eye Surgeons - Akron (Valley),"1558 Akron Peninsula Road, Akron, OH 44313",Akron,OH,44313,No,Yes,Yes,2026-08-27T21:34:51+00:00,2026-08-29T16:02:50+00:00,+13306210346,,,8b829332-0a0d-4989-b3f2-5d2dcf77063b
Northeast Ohio Eye Surgeons - Canton 1,"800 McKinley Avenue Northwest, Canton, OH 44703",Canton,OH,44703,No,Yes,Yes,2026-08-27T21:34:51+00:00,2026-08-29T16:02:50+00:00,+13305879753,,,c29dcf26-6242-4a8d-b136-1b1330c40621
Northeast Ohio Eye Surgeons - Kent,"2103 Ohio 59, Kent, OH 44240",Kent,OH,44240,No,Yes,Yes,2026-08-27T21:34:51+00:00,2026-08-29T16:02:50+00:00,+13303558724,,,8489c8d6-8279-4b2c-93e8-d0bb3b0f3e8a
Northeast Ohio Eye Surgeons - Medina,"3583 Reserve Commons Drive, Medina, OH 44256",Medina,OH,44256,No,Yes,Yes,2026-08-27T21:34:51+00:00,2026-08-29T16:02:50+00:00,+13306323611,,,ce5ef811-5075-450d-90d2-9fda28778c31
Northeast Ohio Eye Surgeons - Medina2,"4463 Weymouth Road, Medina, OH 44256",Medina,OH,44256,No,Yes,Yes,2026-08-27T21:34:51+00:00,2026-08-29T16:02:50+00:00,+13305212854,,,79a766b5-95c7-4f50-bc48-a379e41fd36e
Northeast Ohio Eye Surgeons - N Canton,"6407 Frank Avenue Northwest, North Canton, OH 44720",North Canton,OH,44720,No,Yes,Yes,2026-08-27T21:34:51+00:00,2026-08-29T16:02:50+00:00,+13307719605,,,5b393643-dd77-4b4c-9fa6-cea782776a98
Northeast Ohio Eye Surgeons - Stow,"4227 Allen Road, Stow, OH 44224",Stow,OH,44224,No,Yes,Yes,2026-08-27T21:34:51+00:00,2026-08-29T16:02:50+00:00,+13309196124,,,08136427-af40-4a02-9b9e-2ead8c6e9a69
Northeast Ohio Eye Surgeons - Wadsworth,"1st Street, Wadsworth, OH 44281",Wadsworth,OH,44281,No,Yes,Yes,2026-08-27T21:34:51+00:00,2026-08-29T16:02:50+00:00,+13305787062,,,d7923c30-6be2-49e0-8e61-b5b7cd068668
Northern Virginia Doctors of Optometry,"7249 Arlington Boulevard, Falls Church, VA 22042",Falls Church,VA,22042,No,Yes,Yes,2026-07-18T21:18:20+00:00,2026-08-29T16:02:50+00:00,+16592745340,http://www.novaeyedocs.com/,,b5fc237b-596b-4919-ae31-29580e6daf2e
OCLI Queens-Richmond Hill,"119-15 Atlantic Avenue, Queens, NY 11418",Queens,NY,11418,No,Yes,Yes,2026-08-27T21:34:51+00:00,2026-08-29T16:02:50+00:00,+14422642932,https://www.ocli.net/locations/eye-doctor-in-queens-richmond-hill/,Yuliya Angelova,0a7748dc-eabf-4910-9527-ec3c9a1cdc7d
OCLI Vision New Haven County: East Haven,"317 Foxon Road, East Haven, CT 06513",East Haven,CT,06513,No,Yes,Yes,2026-07-22T01:05:31+00:00,2026-08-29T16:02:50+00:00,+15706957427,https://www.ocli.net/locations/eye-doctor-in-new-haven-county-east-haven/,Himakshi Bhatt; Talia Shoshany,ae0aa020-1354-4f43-aeaf-549651134c73
Ophthalmic Partners,"775 East Route 70, Marlton, NJ 08053",Marlton,NJ,08053,Yes,Yes,Yes,2026-08-06T13:50:19+00:00,2026-08-29T16:02:50+00:00,+18566364355,https://oppdoctors.com/,Brandon Ayres; Brenton Finklea MD; Marisa Schoen MD,41ae30bd-c443-46a2-a96e-3d65ece6f97c
Ophthalmology Consultants,"12990 Manchester Road / Suite 201, St Louis, MO 63131",St Louis,MO,63131,No,Yes,Yes,2026-08-27T21:34:51+00:00,2026-08-29T16:02:50+00:00,+13143505150,,Steven Lee MD; Erin Sullivan; Michelle Derheimer; Joseph Gira,6130f387-d5ed-4081-bfe1-f2ac54527706
