Clinic,Address,City,State,Zip,Treatment center,Detection center,Currently live in latest run,First seen by monitor,Last seen by monitor,Phone,Website,Providers,Epioxa facility ID
Horvath Vision Care Northwoods,"180 Northwoods Boulevard, Columbus, OH 43235",Columbus,OH,43235,No,Yes,No,2026-07-23T00:58:32+00:00,2026-07-23T02:10:23+00:00,+18158814070,horvathvisionnorthwoods.com,Rebecca Lugar; Breanna Williams; Lara Leach; Katie Simonovich; Wasim Sleiman; Jamie Horvath; Mark Horvath,d8cf34c2-8ce1-4779-a532-c211d5d4d3c6
Kirkwood Eye Associates,"200 South Kirkwood Road, Kirkwood, MO 63122",Kirkwood,MO,63122,No,Yes,No,2026-08-27T21:34:51+00:00,2026-08-27T21:34:51+00:00,+13144611661,kirkwoodeye.com,Andrew Biondo; Jessica TU OD,0d12550d-2052-4875-992c-fac72e717064
Michigan Eye Institute - Lake Orion,"1240 South Lapeer Road, Orion Township, MI 48360",Orion Township,MI,48360,No,Yes,No,2026-08-01T13:05:04+00:00,2026-08-19T12:33:15+00:00,+12489650396,https://mieye.com/lake-orion/,,43996f7e-00cc-4dc7-b631-b321f6d0b7cb
Mount Airy Medical Eye Center,"1401 Ridge Court, Mount Airy, MD 21771",Mount Airy,MD,21771,No,Yes,No,2026-07-22T01:05:31+00:00,2026-08-17T12:30:43+00:00,+13016354257,https://www.mountairymedicaleyecenter.com/,,c6c40821-4a07-4499-af23-63a523db30b1
Normandy Optical - Rochester,"137 South Livernois Road, Rochester Hills, MI 483071837",Rochester Hills,MI,483071837,No,Yes,No,2026-07-23T00:58:32+00:00,2026-07-29T13:54:58+00:00,+19129152663,https://www.normandyoptical.com/locations/rochester-hills,,659e088d-0fb5-4075-8576-cce22a27f0c3
OCLI Vision New Haven County: East Haven,"317 Foxon Road, East Haven, CT 06513",East Haven,CT,06513,No,Yes,No,2026-07-22T01:05:31+00:00,2026-08-31T18:35:54+00:00,+15706957427,https://www.ocli.net/locations/eye-doctor-in-new-haven-county-east-haven/,Himakshi Bhatt; Talia Shoshany,ae0aa020-1354-4f43-aeaf-549651134c73
Professional Optometry Vision Care,"77 Veterans Memorial Highway, Commack, NY 11725",Commack,NY,11725,No,Yes,No,2026-08-27T21:34:51+00:00,2026-08-27T21:34:51+00:00,+16315402072,https://pvc-optometry.com/,Sonia Valle,a6611a0c-f326-458f-b64e-8534daaecf71
Sea Eye Care,"9573 Shore Drive STE E, Norfolk, VA 23518",Norfolk,VA,23518,No,Yes,No,2026-08-04T13:55:18+00:00,2026-08-26T12:38:49+00:00,+17575749971,https://www.seaeyecare.org/,James Komornik OD,43b537e8-1173-40db-9754-a2b788e4f201
Tulman Eye Group,"880 Crestmark Drive, Lithia Springs, GA 30122",Lithia Springs,GA,30122,No,Yes,No,2026-07-22T01:05:31+00:00,2026-08-26T12:38:49+00:00,+16206302406,https://visionsource-tulmaneyegroup.com/,Bryan Truong; Mehrdad Saadat,cc318f2b-70f0-43ea-a8cc-52acb6d55583
University Eye Associates,"8316 Medical Plaza Drive, Charlotte, NC 28262",Charlotte,NC,28262,No,Yes,No,2026-08-22T12:25:34+00:00,2026-08-22T12:25:34+00:00,+17082947377,www.universityeye.net,Robert Hamp,624c4a35-8918-4315-b38b-b805987df6c4
Vision Source Eyecare KC Plaza,"4400 broadway - Suite 202, kansas city, MO 64111",kansas city,MO,64111,No,Yes,No,2026-08-27T21:34:51+00:00,2026-09-01T15:54:53+00:00,+18168443372,http://www.taubereye.com/,Crystal Remington OD,0b97dd33-c634-4bd5-a53a-f2d732c6bd73
Visionary Eye Clinic,"1600 Grand Central Avenue, Vienna, WV 26105",Vienna,WV,26105,No,Yes,No,2026-08-27T21:34:51+00:00,2026-08-31T18:35:54+00:00,+13043375930,,Kayla Campbell OD; Katie Palmer OD,2aab9f86-3061-4a89-b5d6-46fdfee9273c
Wilmington Eye,"1176 East Cutlar Crossing, Leland, NC 28451",Leland,NC,28451,No,Yes,No,2026-08-27T21:34:51+00:00,2026-09-01T15:54:53+00:00,+19109363876,www.wilmingtoneye.com,Madeline Brillhart,7257b914-ce14-4a91-b35b-55455d94712b
Wilmington Eye,"9020 Senca Drive, Wilmington, NC 28411",Wilmington,NC,28411,No,Yes,No,2026-08-27T21:34:51+00:00,2026-09-01T15:54:53+00:00,+19105970332,www.wilmingtoneye.com,Madeline Brillhart,e3cb8ad6-cb75-480e-8113-e7e9114b9f45
