Clinic,Address,City,State,Zip,Treatment center,Detection center,Currently live in latest run,First seen by monitor,Last seen by monitor,Phone,Website,Providers,Epioxa facility ID
Asheville Vsion and Wellness,"559 Long Shoals Road, Arden, NC 28704",Arden,NC,28704,No,Yes,Yes,2026-07-14T02:12:15.966Z,2026-08-16T12:25:42+00:00,+18284155345,ashevillevisionandwellness.com,Lisa Greene; Sid Morse,5f843cdb-3bc1-4655-bd40-4294bdbe1afc
Atlanta Eye Group,"4400 Ashford Dunwoody Road Suite 1280, Dunwoody, GA 30346",Dunwoody,GA,30346,No,Yes,Yes,2026-07-14T02:12:15.966Z,2026-08-16T12:25:42+00:00,+17722915681,www.lenscrafters.com,Katie Harris,c626e2d0-7302-4811-96b6-f5a7f8ceb55b
Atlanta Eye Group Cumberland,"2860 Cumberland Mall SE Suite 1440, Atlanta, GA 30339",Atlanta,GA,30339,No,Yes,Yes,2026-07-14T02:12:15.966Z,2026-08-16T12:25:42+00:00,+17727731036,https://www.atlantaeyegroup.com/,Katie Harris,57e4d136-b77d-4e9c-a2c0-57188a6409ef
Atlanta Eye Group Tucker,"4832 Briarcliff Road Northeast, Atlanta, GA 30345",Atlanta,GA,30345,No,Yes,Yes,2026-07-14T02:12:15.966Z,2026-08-16T12:25:42+00:00,+17723099771,atlantaeyegroup.com,Aditi Bellur; Ashka Patel; Cynthia Noorani; Aysha Siddique,4fd1e0e7-6f69-4e39-8721-0e81dff99d6d
Atlantic Eye Physicians,"300 S. Highway 35, Eatontown, NJ 07724",Eatontown,NJ,07724,Yes,No,Yes,2026-07-14T02:12:15.966Z,2026-08-16T12:25:42+00:00,+17329634029,http://www.atlanticeyephysicians.com/services/corneal-transplant-surgery-and-dsek/,Ravi Patel MD,a23948ea-88e0-4cbd-b8fd-fa2428f3e41b
Atrium Health Wake Forest Baptist Eye Center - Davie,"329 NC Hwy 801 North, Bermuda Run, NC 27006",Bermuda Run,NC,27006,Yes,No,Yes,2026-07-14T02:12:15.966Z,2026-08-16T12:25:42+00:00,+13363612641,http://www.wakehealth.edu/Eye-Center/Ophthalmology/Clinical-Specialties.htm,Matt Giegengack MD,74b4cf42-ea8e-47b8-aea2-985796f886b9
Augusta University,"1120 15th Street / Medical Center- Talmadage Bldg (BA), Augusta, GA 30912",Augusta,GA,30912,Yes,No,Yes,2026-08-01T13:05:04+00:00,2026-08-16T12:25:42+00:00,+17065234353,https://www.augusta.edu/mcg/ophthalmology/,Amy Estes MD,f2856736-0cb1-4dcf-85e8-5cd1a16fe50f
Azman Eye Care Specialists,"1427 Clarkview Road, Baltimore, MD 21209",Baltimore,MD,21209,No,Yes,Yes,2026-07-18T21:18:20+00:00,2026-08-16T12:25:42+00:00,+14433359705,https://azmaneye.com,,411f7720-6265-43b5-b505-6911a326eabf
Battleground Eye Care,"3132 Battleground Ave, Greensboro, NC 27408",Greensboro,NC,27408,No,Yes,Yes,2026-07-14T02:12:15.966Z,2026-08-16T12:25:42+00:00,+13367535291,https://www.battlegroundeyecare.com,Jon Scott OD,f852e273-2bd2-42e4-8de7-98615d5d9abf
Bay Area Eye Institute,"3242 Cove Bend Drive, Tampa, FL 33613",Tampa,FL,33613,Yes,Yes,Yes,2026-07-14T02:12:15.966Z,2026-08-16T12:25:42+00:00,+17653751409,https://craigbergermd.com,Craig Berger MD,6851406b-0826-4321-855b-6b3ad02e1caa
Beau Swann,"201 Londonderry Dr, Waco, TX 76712",Waco,TX,76712,Yes,No,Yes,2026-07-14T02:12:15.966Z,2026-08-16T12:25:42+00:00,+12545035548,https://brazoseye.com/,Jordan Tanous Dr.,9995955f-6dc1-4feb-b750-fe19d40451a4
Bedford Family Eye Care,"1332A Lowry Street, Bedford, VA 24523",Bedford,VA,24523,No,Yes,Yes,2026-07-14T02:12:15.966Z,2026-08-16T12:25:42+00:00,+15408893557,www.bedfordfamilyeye.com,Jared Quensenberry OD,4fad8a87-2684-4509-b736-dc1df6130842
Berg-Feinfield Vision Correction,"13320 Riverside DriveSte 114, Sherman Oaks, CA 91423",Sherman Oaks,CA,91423,Yes,Yes,Yes,2026-07-14T02:12:15.966Z,2026-08-16T12:25:42+00:00,+12762089778,http://www.bergfeinfield.com/los-angeles/vision-correction.htm,,6e21453a-2a07-4c38-b8fd-87948006005e
Beverly Hills Institute of Ophthalmology,"416 North Bedford Drive, Beverly Hills, CA 90210",Beverly Hills,CA,90210,Yes,No,Yes,2026-07-14T02:12:15.966Z,2026-08-16T12:25:42+00:00,+16205319248,https://www.90210eyes.com,,74444618-a4e0-4ddc-93c9-df82fbbffc2b
Beyond Optometry,"3440 Del Lago Boulevard, Escondido, CA 92029",Escondido,CA,92029,No,Yes,Yes,2026-07-14T02:12:15.966Z,2026-08-16T12:25:42+00:00,+17602806064,https://beyondoptometry.com,,abf2046f-1f80-420e-8aae-dcaabe181e22
Black Hills Regional Eye Institute,"2800 Third St, Rapid City, SD 57701",Rapid City,SD,57701,Yes,Yes,Yes,2026-07-24T13:24:06+00:00,2026-08-16T12:25:42+00:00,+16057025171,,,d937b227-2994-445c-aaf2-c188c5f0314f
BoozmanHof,"3737 West Walnut St, Rogers, AR 72756",Rogers,AR,72756,Yes,No,Yes,2026-07-14T02:12:15.966Z,2026-08-16T12:25:42+00:00,+14794254017,https://boozmanhof.com/,,f6d69e81-5a53-4761-a467-45859751ef6c
Boston Children's Hospital,"360 1st Avenue / Floor 3, Needham, MA 02494",Needham,MA,02494,Yes,No,Yes,2026-07-14T02:12:15.966Z,2026-08-16T12:25:42+00:00,+19787218103,https://www.childrenshospital.org/locations/boston-childrens-needham,"Thomas Dohlman MD; Leyla Yavuz Saricay MD, MSc, FEBO; Jae You MD",84d5171e-9215-4b07-8f7d-d1677cd3a623
Boston Vision,"159 River Road, Andover, MA 01810",Andover,MA,01810,No,Yes,Yes,2026-07-18T21:18:20+00:00,2026-08-16T12:25:42+00:00,+16177444017,https://www.bostonvision.com/services/cornea/corneal-cross-linking/?dlmtrk_referrer=https%3A%2F%2Fwww.google.com%2F&dlmtrk_landing=https%3A%2F%2Fwww.bostonvision.com%2Fpatient-resources%2Fpatient-portal%2F&dlmtrk_source=google_organic,Emily Nangle OD,56f9454e-17ea-4128-a269-bebe7ff7f538
Boston Vision,"24 Webster Place, Brookline, MA 02445",Brookline,MA,02445,Yes,Yes,Yes,2026-07-14T02:12:15.966Z,2026-08-16T12:25:42+00:00,+19385296202,https://www.bostonvision.com/services/cornea/corneal-cross-linking/,"James Gregoire MD, MS; Samir Melki MD, PHD, Founder; Jason Brenner MD; Vivian Yao OD; Deborah Lee OD",f981ff44-903b-42f1-bb66-d629a377e2c2
Boston Vision,"172 Cambridge Street, Burlington, MA 01803",Burlington,MA,01803,No,Yes,Yes,2026-07-14T02:12:15.966Z,2026-08-16T12:25:42+00:00,+19452929264,https://www.bostonvision.com/services/cornea/corneal-cross-linking,Cora Vitale OD,c4c4184e-db6b-44ef-9cae-7dd25d6313b1
Boston Vision,"25 Marston Street
Marston Medical Building Suite 104, Lawrence, MA 01841",Lawrence,MA,01841,No,Yes,Yes,2026-07-22T01:05:31+00:00,2026-08-16T12:25:42+00:00,+19377525492,https://www.bostonvision.com/services/cornea/corneal-cross-linking,Alexander Martin OD,7e1a4622-6fec-4c38-9740-1a7949dbb98f
Boston Vision,"101 Main Street
suite 208, Medford, MA 02155",Medford,MA,02155,No,Yes,Yes,2026-07-14T02:12:15.966Z,2026-08-16T12:25:42+00:00,+12513018457,https://www.bostonvision.com/services/cornea/corneal-cross-linking/?dlmtrk_referrer=https%3A%2F%2Fwww.google.com%2F&dlmtrk_landing=https%3A%2F%2Fwww.bostonvision.com%2Fpatient-resources%2Fpatient-portal%2F&dlmtrk_source=google_organic,"Stivia Demiri OD, FAAO",c0abaeb4-4d54-4e77-8abe-3c29bee3da05
Boston Vision,"200 Fortune Boulevard, Milford, MA 01757",Milford,MA,01757,No,Yes,Yes,2026-07-18T21:18:20+00:00,2026-08-16T12:25:42+00:00,+16179586040,https://www.bostonvision.com/services/cornea/corneal-cross-linking,Nirali Patel OD,0ccab1d5-c0d2-40ba-8e20-7b7ef37efa02
Boston Vision,"204 Worcester Street, Wellesley, MA 02481",Wellesley,MA,02481,No,Yes,Yes,2026-07-18T21:18:20+00:00,2026-08-16T12:25:42+00:00,+16206223356,https://www.bostonvision.com/services/cornea/corneal-cross-linking,Yen Nguyen OD,53c29ab2-50ef-45d1-add8-1b87d25e2841
Branham Family Eyecare,"1673 Branham Lane, San Jose, CA 95118",San Jose,CA,95118,No,Yes,Yes,2026-07-14T02:12:15.966Z,2026-08-16T12:25:42+00:00,+18453160694,https://branhamfamilyeyecare.com/,,1bd1e094-73be-4e01-887e-e72ee995c3c9
Bright Eyes Optical Mt. Vernon,"51 East Prospect Avenue, Mount Vernon, NY 10550",Mount Vernon,NY,10550,No,Yes,Yes,2026-07-14T02:12:15.966Z,2026-08-16T12:25:42+00:00,+19148752138,https://brighteyesmv.com/,Sumati Deutscher,f322f6d8-40b9-4690-8282-8fbb1ec92afe
Bright Eyes Optical New Rochelle,"177 B East Main Street, New Rochelle, NY 10801",New Rochelle,NY,10801,No,Yes,No,2026-07-23T00:58:32+00:00,2026-08-04T13:55:18+00:00,+19145439989,www.brighteyesny.com,Sumati Deutscher,14c3edce-0d06-491d-95aa-b754c7596325
Broward EyeCare,"2502 East Oakland Park Boulevard, Fort Lauderdale, FL 33306",Fort Lauderdale,FL,33306,No,Yes,Yes,2026-07-14T02:12:15.966Z,2026-08-16T12:25:42+00:00,+19549942386,browardeye.com,John Bascome; Alyssa Panagos,1d9e3355-c4e2-4763-8375-c0313335a5a8
Byers Eye Institute at Stanford,"2452 Watson Court, Palo Alto, CA 94303",Palo Alto,CA,94303,Yes,No,Yes,2026-07-14T02:12:15.966Z,2026-08-16T12:25:42+00:00,+16505358424,http://eyelaser.stanford.edu/procedures/other_procedures.html,,495a4eb6-bcd5-4187-9960-78c557cc433f
C | Lane Eye Associates,"3070 Harrodsburg Road
Suite 130, Lexington, KY 40503",Lexington,KY,40503,No,Yes,Yes,2026-07-14T02:12:15.966Z,2026-08-16T12:25:42+00:00,+18596518784,https://www.claneeyeassociates.com,Kari Carpenter; Allyson Lane,4c32cec5-b752-4ae8-babe-7494be362b92
Cali Eye Institute,"1739 W Avenue J, Lancaster, CA 93534",Lancaster,CA,93534,Yes,No,Yes,2026-07-14T02:12:15.966Z,2026-08-16T12:25:42+00:00,+18312825514,https://calieye.com/locations/lancaster-eye-institute/?utm_source=google&utm_medium=organic&utm_campaign=gbp_lancaster&utm_content=website_button,,7947c1c8-7980-4af8-b5e0-18d022e03444
California Oaks Vision Center,"24640 Jefferson Avenue Suite 100, Murrieta, CA 92562",Murrieta,CA,92562,No,Yes,Yes,2026-07-28T13:49:51+00:00,2026-08-16T12:25:42+00:00,+19516696149,www.visionsource-murrieta.com,,43bd3872-68d2-4a57-9304-fe839ecfe35f
Cape Fear Eye Associates,"1726 Metro Medical Drive, Fayetteville, NC 28304",Fayetteville,NC,28304,Yes,No,Yes,2026-07-14T02:12:15.966Z,2026-08-16T12:25:42+00:00,+19105863529,https://www.capefeareye.com,Sheel Patel,3f88ea1a-e196-451b-ab4c-fe58a8d229bb
CarlinVision,"2377 Lenora Church Road, Snellville, GA 30078",Snellville,GA,30078,Yes,Yes,Yes,2026-07-14T02:12:15.966Z,2026-08-16T12:25:42+00:00,+15054618235,https://www.carlinvision.com,David Carlin; Blake Thornhill,83d06341-937b-4bb4-b5bc-a11fbb65e162
Carolina Cataract and Laser,"137 Gateway Dr., Ladson, SC 29456",Ladson,SC,29456,Yes,No,Yes,2026-07-14T02:12:15.966Z,2026-08-16T12:25:42+00:00,+18433806121,http://www.carolinacataract.com/cornea-diseases-charleston/corneal-collagen-cross-linking/,David Vroman MD; Kristiana Neff; Charlene Grice; Michelle Ying,24844c02-f961-4ee0-a432-2fdb044130bc
Carolina Eye Associates - Greensboro Office,"3312 Battleground Avenue, Greensboro, NC 27410",Greensboro,NC,27410,Yes,No,Yes,2026-07-14T02:12:15.966Z,2026-08-16T12:25:42+00:00,+13365305860,,Derek Delmonte MD,653fa360-33dd-4189-855e-713d88586d0d
Carolina Eye Physicians- North Charleston,"2861 Tricom Street, North Charleston, SC 29406",North Charleston,SC,29406,Yes,No,Yes,2026-07-14T02:12:15.966Z,2026-08-16T12:25:42+00:00,+18433508609,https://carolinaeyecare.com/location/north-charleston/,Cole Milliken,bab9b5f3-ac0c-41f7-81b8-729c208428f5
Carolina Vision Care,"1804 West Arlington Boulevard, Greenville, NC 27834",Greenville,NC,27834,No,Yes,No,2026-07-28T13:49:51+00:00,2026-08-04T13:55:18+00:00,+12523583330,www.carolinavisioncare.com,Scott McIntosh OD; Thomas McIntosh OD; Lady B. Aycock OD,b4b695bc-589a-4037-8264-63ab49c650b9
Carolina Vision Center,"2047 Valleygate Drive, Fayetteville, NC 28304",Fayetteville,NC,28304,Yes,No,No,2026-07-14T02:12:15.966Z,2026-08-14T12:51:38+00:00,+19106316261,,Michael Woodcock,e5559ee2-b69f-47da-a170-5d263c4b0f26
Caruana Eye Care,"1164 East Oakland Park Boulevard / Suite 300, Oakland Park, FL 33334",Oakland Park,FL,33334,Yes,No,Yes,2026-07-14T02:12:15.966Z,2026-08-16T12:25:42+00:00,+17623779132,https://caruanaeye.com/,Albert Caruana,98f2daf3-b055-4326-af58-1a91ba68e1a9
Catalina Eye Care,"3925 E. Ft. Lowell Rd / Suite 100, Tucson, AZ 85712",Tucson,AZ,85712,No,Yes,Yes,2026-07-14T02:12:15.966Z,2026-08-16T12:25:42+00:00,+15203410524,Catalinaeyecare.com,Ovette Villavicencio; Luis Antillon OD,01989254-0de0-4e17-a483-c83a01575539
Catalina Eye Care - Oro Valley,"10281 North Oracle Road, Tucson, AZ 85737",Tucson,AZ,85737,No,Yes,Yes,2026-07-18T21:18:20+00:00,2026-08-16T12:25:42+00:00,+15206755177,Catalinaeyecare.com,Luis Antillon OD; Leslie Wintraub OD,141c6cd4-e08b-40a2-b72b-ad0ba10520d8
Cataract and Vision Center of Hawaii,"1712 Liliha St / Suite 400, Honolulu, HI 96817",Honolulu,HI,96817,Yes,Yes,Yes,2026-07-14T02:12:15.966Z,2026-08-16T12:25:42+00:00,+18087463583,cataractandvision@gmail.com,,d22ebc4a-8b19-472a-9a9f-53ca7233f914
Cavanaugh Eye Center,"6200 West 135th St, Overland Park, KS 66223",Overland Park,KS,66223,No,Yes,Yes,2026-07-14T02:12:15.966Z,2026-08-16T12:25:42+00:00,+19139338194,https://lasikkansascity.com/locations/overland-park/?utm_source=gmb&utm_medium=yext,Jared Jaynes; Tim Cavanaugh,6b716dc3-b8c4-44b9-97ed-59817b6c29cc
"Center For Sight - Pensacola, FL.","6190 N. Davis Hwy, Pensacola, FL 32504",Pensacola,FL,32504,Yes,No,Yes,2026-07-14T02:12:15.966Z,2026-08-16T12:25:42+00:00,+18507067183,www.centerforsight.org,,077d1ae4-dc00-4014-9700-179b46aa16f3
Center For Sight - Venice,"1360 East Venice Avenue, Venice, FL 34285",Venice,FL,34285,No,Yes,Yes,2026-07-14T02:12:15.966Z,2026-08-16T12:25:42+00:00,+19417704421,https://centerforsight.net/location/venice/?utm_campaign=Google+Business+Profile+Venice,,65c4b85f-9f8b-4b1a-8975-7e949dc68c9c
Center for Sight- Englewood,"1800 South McCall Road, Englewood, FL 34223",Englewood,FL,34223,No,Yes,Yes,2026-07-14T02:12:15.966Z,2026-08-16T12:25:42+00:00,+19412562267,https://centerforsight.net/location/englewood/?utm_campaign=Google+Business+Profile+Englewood,,fa153638-ca7a-4b34-a239-e3f4c3a6f897
Center for Sight- North Port,"14844 South Tamiami Trail, North Port, FL 34287",North Port,FL,34287,No,Yes,Yes,2026-07-14T02:12:15.966Z,2026-08-16T12:25:42+00:00,+19416810935,https://centerforsight.net/location/north-port/?utm_campaign=Google+Business+Profile+North+Port,,9347b35f-a687-4966-96eb-6073e7634267
Center for Sight- Sarasota,"2601 S. Tamiami Trail, Sarasota, FL 34239",Sarasota,FL,34239,Yes,Yes,Yes,2026-07-14T02:12:15.966Z,2026-08-16T12:25:42+00:00,+19413850269,https://centerforsight.net/location/sarasota/?utm_campaign=Google+Business+Profile+Sarasota,,85eb98da-c4d1-4f79-b901-7d01772eb5f8
Center for Sight- University Park,"5409 University Parkway, Bradenton, FL 34201",Bradenton,FL,34201,No,Yes,Yes,2026-07-14T02:12:15.966Z,2026-08-16T12:25:42+00:00,+19413948054,https://centerforsight.net/location/university-park/?utm_campaign=Google+Business+Profile+University+Park,,92c5ad5a-952f-4bf9-b031-3ed381bbce84
Charlotte Contact Lens Institute,"5950 Fairview Road STE 708, Charlotte, NC 28210",Charlotte,NC,28210,No,Yes,No,2026-07-14T02:12:15.966Z,2026-08-07T12:48:18+00:00,+15713909402,www.charlottecontactlens.com,Aerial Cerenzie; Heather Cipperly,614a7d51-f2c4-4443-9994-981843fde66f
Cherry Glen Sight & Style,"600 South Holly Street, Denver, CO 80246",Denver,CO,80246,No,Yes,Yes,2026-07-14T02:12:15.966Z,2026-08-16T12:25:42+00:00,+17202921602,https://www.cherryglenvision.com/?noamp,Aaron Winstead; James Cutler,580cbc97-2a07-4f0e-9be7-018f2a69cfe4
Cheyenne Vision Clinic,"1854 Dell Range Boulevard, Cheyenne, WY 82009",Cheyenne,WY,82009,No,Yes,Yes,2026-07-14T02:12:15.966Z,2026-08-16T12:25:42+00:00,+13073815945,https://www.cheyennevisionclinic.com/,Joe Munsell,bbdb42c1-039d-4756-946d-780307d7b47f
Chicago Arbor Eye Institute,"9731 W. 165th St / Ste 31, Orland Park, IL 60467",Orland Park,IL,60467,Yes,No,Yes,2026-07-30T13:44:50+00:00,2026-08-16T12:25:42+00:00,+19785747319,https://www.arboreyecare.com/content/our-specialities,Ravi Shah; Fatima Ali,2f14b003-ae25-44f5-bde9-a68eed1bf606
Chicago Cornea,"1585 Barrington Rd / Bldg 2 / Ste 502, Hoffman Estates, IL 60169",Hoffman Estates,IL,60169,Yes,Yes,Yes,2026-07-14T02:12:15.966Z,2026-08-16T12:25:42+00:00,,https://www.chicagocornea.com/,Parag Majmudar; Neel Vaidya; Marsha Malooley; Riddhi Patel; Nicholas Blasco; Tiffany Andrzejewski; Alexander Golden; Anjali Raichura,7854c42f-8e41-4304-86de-a4287bd625a7
Chicago Cornea Consultants,"1602 Central Road, Arlington Heights, IL 60005",Arlington Heights,IL,60005,No,Yes,Yes,2026-07-14T02:12:15.966Z,2026-08-16T12:25:42+00:00,+13127785786,chicagocornea.com,"Alexander Golden; Nicholas Blasco; Anjali Raichura,; Riddhi Patel,",0e81703f-3da2-4c41-92f9-b9654c34a568
Chicago Cornea Consultants,"1725 West Harrison Street, Suite 928, Chicago, IL 60612",Chicago,IL,60612,No,Yes,Yes,2026-07-14T02:12:15.966Z,2026-08-16T12:25:42+00:00,+15312083495,https://www.chicagocornea.com/locations/chicago-office/,"Anjali Raichura; Tiffany Andrzejewski; Marsha Malooley,",6f7d6139-8e2e-4dd5-b9c1-84cd36083fed
Chicago Cornea Consultants,"806 Central Ave., Highland Park, IL 60035",Highland Park,IL,60035,No,Yes,Yes,2026-07-14T02:12:15.966Z,2026-08-16T12:25:42+00:00,+19788134633,https://www.chicagocornea.com/locations/highland-park-office/,Marsha Malooley OD FAAO FSLS; Tiffany Andrzejewski; Anjali Raichura; Nicholas Blasco; Riddhi Patel; Alexander Golden,538a32d1-6e67-42f8-80b9-b56bf8740cec
Chico Eye Center,"3401 Esplanade, Chico, CA 95973",Chico,CA,95973,Yes,Yes,Yes,2026-07-14T02:12:15.966Z,2026-08-16T12:25:42+00:00,+15308044417,https://www.chicoeye.com/,Sean Liston,8e904651-e159-4519-95ac-9b7899e19b95
Childrens Hospital of Philadelphia,"3401 Civic Center Boulevard, Philadelphia, PA 19104",Philadelphia,PA,19104,Yes,No,Yes,2026-07-14T02:12:15.966Z,2026-08-16T12:25:42+00:00,+15314555149,https://www.chop.edu/,Kristin Hammersmith MD,b7a14f1f-853d-4761-a676-9b2f15196568
Chino Optometry Center,"11640 Central Ave., Chino, CA 91710",Chino,CA,91710,No,Yes,Yes,2026-07-14T02:12:15.966Z,2026-08-16T12:25:42+00:00,+19093231227,https://www.chinooptometrycenter.net/,,a8bb1de4-f92e-4abd-afe7-b3d12f02f85a
Chroma-Optics Burlington,"370 Shelburne Road, Burlington, VT 05401",Burlington,VT,05401,No,Yes,Yes,2026-07-18T21:18:20+00:00,2026-08-16T12:25:42+00:00,+18022147460,chromaoptics.com,,efb9a43a-1a74-4f11-8bb6-22347d32f358
City Eyes Optometry Center,"4454 Van Nuys Boulevard, #C, Sherman Oaks, CA 91403",Sherman Oaks,CA,91403,No,Yes,Yes,2026-07-14T02:12:15.966Z,2026-08-16T12:25:42+00:00,+15716883747,www.cityeyes.org,,b2560dda-f812-4499-8fc6-5925798a3e61
Clarin Eyecare,"14429 South Dixie Highway, Miami, FL 33176",Miami,FL,33176,No,Yes,Yes,2026-07-14T02:12:15.966Z,2026-08-16T12:25:42+00:00,+12409801793,,Leslie Scher,790541e3-8ec4-4b05-b4fe-891b34fae2c4
