Clinic,Address,City,State,Zip,Treatment center,Detection center,Currently live in latest run,First seen by monitor,Last seen by monitor,Phone,Website,Providers,Epioxa facility ID
Medical University of South Carolina,"167 Ashley Avenue, Charleston, SC 29425",Charleston,SC,29425,Yes,No,Yes,2026-08-27T21:34:51+00:00,2026-08-27T21:34:51+00:00,+18436043283,,"Karolinne Rocha M.D., Ph.D.; Karen Fernadez; Larissa Gouvea",3b54dccd-e28a-4dc3-a372-84c7afab1047
Murrieta Creek Optometry,"39252 Winchester Road, Murrieta, CA 92563",Murrieta,CA,92563,No,Yes,Yes,2026-08-27T21:34:51+00:00,2026-08-27T21:34:51+00:00,+19515972688,https://murrietacreekoptometry.com/,,be214a54-0477-4378-b84a-aeb7449e74ab
NEOES -Streetsboro,"1155 Ohio 303, Streetsboro, OH 44241",Streetsboro,OH,44241,No,Yes,Yes,2026-08-27T21:34:51+00:00,2026-08-27T21:34:51+00:00,+13307364354,,,3d823915-9adb-464b-8437-6b70dae999af
Northeast Ohio Eye Surgeons - Akron (Valley),"1558 Akron Peninsula Road, Akron, OH 44313",Akron,OH,44313,No,Yes,Yes,2026-08-27T21:34:51+00:00,2026-08-27T21:34:51+00:00,+13306210346,,,8b829332-0a0d-4989-b3f2-5d2dcf77063b
Northeast Ohio Eye Surgeons - Canton 1,"800 McKinley Avenue Northwest, Canton, OH 44703",Canton,OH,44703,No,Yes,Yes,2026-08-27T21:34:51+00:00,2026-08-27T21:34:51+00:00,+13305879753,,,c29dcf26-6242-4a8d-b136-1b1330c40621
Northeast Ohio Eye Surgeons - Kent,"2103 Ohio 59, Kent, OH 44240",Kent,OH,44240,No,Yes,Yes,2026-08-27T21:34:51+00:00,2026-08-27T21:34:51+00:00,+13303558724,,,8489c8d6-8279-4b2c-93e8-d0bb3b0f3e8a
Northeast Ohio Eye Surgeons - Medina,"3583 Reserve Commons Drive, Medina, OH 44256",Medina,OH,44256,No,Yes,Yes,2026-08-27T21:34:51+00:00,2026-08-27T21:34:51+00:00,+13306323611,,,ce5ef811-5075-450d-90d2-9fda28778c31
Northeast Ohio Eye Surgeons - Medina2,"4463 Weymouth Road, Medina, OH 44256",Medina,OH,44256,No,Yes,Yes,2026-08-27T21:34:51+00:00,2026-08-27T21:34:51+00:00,+13305212854,,,79a766b5-95c7-4f50-bc48-a379e41fd36e
Northeast Ohio Eye Surgeons - N Canton,"6407 Frank Avenue Northwest, North Canton, OH 44720",North Canton,OH,44720,No,Yes,Yes,2026-08-27T21:34:51+00:00,2026-08-27T21:34:51+00:00,+13307719605,,,5b393643-dd77-4b4c-9fa6-cea782776a98
Northeast Ohio Eye Surgeons - Stow,"4227 Allen Road, Stow, OH 44224",Stow,OH,44224,No,Yes,Yes,2026-08-27T21:34:51+00:00,2026-08-27T21:34:51+00:00,+13309196124,,,08136427-af40-4a02-9b9e-2ead8c6e9a69
Northeast Ohio Eye Surgeons - Wadsworth,"1st Street, Wadsworth, OH 44281",Wadsworth,OH,44281,No,Yes,Yes,2026-08-27T21:34:51+00:00,2026-08-27T21:34:51+00:00,+13305787062,,,d7923c30-6be2-49e0-8e61-b5b7cd068668
OCLI Queens-Richmond Hill,"119-15 Atlantic Avenue, Queens, NY 11418",Queens,NY,11418,No,Yes,Yes,2026-08-27T21:34:51+00:00,2026-08-27T21:34:51+00:00,+14422642932,https://www.ocli.net/locations/eye-doctor-in-queens-richmond-hill/,Yuliya Angelova,0a7748dc-eabf-4910-9527-ec3c9a1cdc7d
Ophthalmology Consultants,"12990 Manchester Road / Suite 201, St Louis, MO 63131",St Louis,MO,63131,No,Yes,Yes,2026-08-27T21:34:51+00:00,2026-08-27T21:34:51+00:00,+13143505150,,Steven Lee MD; Erin Sullivan; Michelle Derheimer; Joseph Gira,6130f387-d5ed-4081-bfe1-f2ac54527706
Optum Pediatric Opthalmology,"146 Manetto Hill Road, Plainview, NY 11803",Plainview,NY,11803,No,Yes,Yes,2026-08-27T21:34:51+00:00,2026-08-27T21:34:51+00:00,+15166146551,https://www.optum.com/en/care/facilities/ny/optum-pediatric-ophthalmology-and-strabismus-plainview-13601_1001032001.html,Jill Marcus,5a0d2968-7052-4507-9824-e4e760ddc9a2
Palmer Eye Care,"17510 Provost Street Suite 103, Lake Oswego, OR 97034",Lake Oswego,OR,97034,No,Yes,Yes,2026-08-27T21:34:51+00:00,2026-08-27T21:34:51+00:00,+19713663428,,,a3abc078-c9c6-4343-ac40-00f5354f114a
Professional Optometry Vision Care,"77 Veterans Memorial Highway, Commack, NY 11725",Commack,NY,11725,No,Yes,Yes,2026-08-27T21:34:51+00:00,2026-08-27T21:34:51+00:00,+16315402072,https://pvc-optometry.com/,Sonia Valle,a6611a0c-f326-458f-b64e-8534daaecf71
Riverwoods Eye Center,"280 W River Park Dr / Suite 220, Provo, UT 84604",Provo,UT,84604,No,Yes,Yes,2026-08-27T21:34:51+00:00,2026-08-27T21:34:51+00:00,+15044203850,http://www.riverwoodseyecenter.com/services/#advanced-cornea-care,Matthew Ward MD,d2069ee0-9c0c-49ad-953b-cbccc1c616d3
SightMD Plainview,"100 Manetto Hill Road, Plainview, NY 11803",Plainview,NY,11803,No,Yes,Yes,2026-08-27T21:34:51+00:00,2026-08-27T21:34:51+00:00,+15167155479,https://www.sightmd.com/our-doctors/madhavi-jaspal-od/,Madhavi Jaspal,d74fc2dd-0d94-4e84-bf9f-79fc21adfa3b
Triad Eye,"3615 Southeast Kentucky Street, Bartlesville, OK 74006",Bartlesville,OK,74006,No,Yes,Yes,2026-08-27T21:34:51+00:00,2026-08-27T21:34:51+00:00,+19182011501,https://triadeye.com/contact-form/,,ca348d86-862c-4cb1-b9d4-29c5b3d57b4d
Triad Eye,"1715 North Lynn Riggs Boulevard, Claremore, OK 74017",Claremore,OK,74017,No,Yes,Yes,2026-08-27T21:34:51+00:00,2026-08-27T21:34:51+00:00,+19188883598,https://triadeye.com/contact-form/,,ae37e2e4-9041-4a7f-a759-c73edda96679
Triad Eye,"63223 Oklahoma 10, Grove, OK 74344",Grove,OK,74344,No,Yes,Yes,2026-08-27T21:34:51+00:00,2026-08-27T21:34:51+00:00,+19188429688,https://triadeye.com/contact-form/,,25af70cb-2674-42c7-baff-057087df90fc
Triad Eye,"1001 East Wyandotte Avenue, McAlester, OK 74501",McAlester,OK,74501,No,Yes,Yes,2026-08-27T21:34:51+00:00,2026-08-27T21:34:51+00:00,+19186015816,https://triadeye.com/contact-form/,,fcd61e01-d4c2-4aed-8b20-f5002252eef7
Triad Eye,"3131 Military Boulevard, Muskogee, OK 74401",Muskogee,OK,74401,No,Yes,Yes,2026-08-27T21:34:51+00:00,2026-08-27T21:34:51+00:00,+19182338371,,,a3bf7898-71c7-4758-ad49-9edcad3b9af9
Triad Eye,"1020 Northeast 1st Street, Pryor, OK 74361",Pryor,OK,74361,No,Yes,Yes,2026-08-27T21:34:51+00:00,2026-08-27T21:34:51+00:00,+19182285343,https://triadeye.com/contact-form/,,24a7d349-2a3b-4f31-8aab-1228c7073a90
Triad Eye- Brookside,"3906 South Peoria Avenue, Tulsa, OK 74105",Tulsa,OK,74105,No,Yes,Yes,2026-08-27T21:34:51+00:00,2026-08-27T21:34:51+00:00,+19187192360,https://triadeye.com/contact-form/,,618d6512-4da6-49ba-b07b-23537196bdf6
Triad Eye- Tulsa Satellite Clinic,"8023 East 63rd Place, Tulsa, OK 74133",Tulsa,OK,74133,No,Yes,Yes,2026-08-27T21:34:51+00:00,2026-08-27T21:34:51+00:00,+19183022739,https://triadeye.com/contact-form/,,23571fd7-e2e9-4fa5-ae41-865ab30b487c
University of Michigan-West Ann Arbor,"380 Parkland Plaza, Ann Arbor, MI 48103",Ann Arbor,MI,48103,No,Yes,Yes,2026-08-27T21:34:51+00:00,2026-08-27T21:34:51+00:00,+17342159795,,,c1c8ca99-da4d-4905-9963-9f6f1197d245
Vision Source - Lakewood Ranch,"11151 State Road 70 East, Bradenton, FL 34202",Bradenton,FL,34202,No,Yes,Yes,2026-08-27T21:34:51+00:00,2026-08-27T21:34:51+00:00,+19414011497,,Olga Sokol; Amara Turner; Troy Bedinghaus; Patrick Nelson; Jordan Petrosky,d27da35e-3490-4a0a-bac3-67b3fe6deae9
Vision Source - Parrish,"10060 US Hwy 301 N, Parrish, FL 34219",Parrish,FL,34219,No,Yes,Yes,2026-08-27T21:34:51+00:00,2026-08-27T21:34:51+00:00,+19414178576,,Olga Sokol; Amara Turner; Troy Bedinghaus; Patrick Nelson; Jordan Petrosky,73dbadd8-dbff-4958-ab71-2d84d74a84f9
Vision Source Eyecare KC Plaza,"4400 broadway - Suite 202, kansas city, MO 64111",kansas city,MO,64111,No,Yes,Yes,2026-08-27T21:34:51+00:00,2026-08-27T21:34:51+00:00,+18168443372,http://www.taubereye.com/,Crystal Remington OD,0b97dd33-c634-4bd5-a53a-f2d732c6bd73
Visionary Eye Clinic,"1600 Grand Central Avenue, Vienna, WV 26105",Vienna,WV,26105,No,Yes,Yes,2026-08-27T21:34:51+00:00,2026-08-27T21:34:51+00:00,+13043375930,,Kayla Campbell OD; Katie Palmer OD,2aab9f86-3061-4a89-b5d6-46fdfee9273c
Western University Eye Care Institute,"309 East 2nd Street, Pomona, CA 91766",Pomona,CA,91766,No,Yes,Yes,2026-08-27T21:34:51+00:00,2026-08-27T21:34:51+00:00,+19094984183,https://www.westernu.edu/,,aa4a919e-a68e-4a19-84fd-de942d5fec9c
Wilmington Eye,"1176 East Cutlar Crossing, Leland, NC 28451",Leland,NC,28451,No,Yes,Yes,2026-08-27T21:34:51+00:00,2026-08-27T21:34:51+00:00,+19109363876,www.wilmingtoneye.com,Madeline Brillhart,7257b914-ce14-4a91-b35b-55455d94712b
Wilmington Eye,"9020 Senca Drive, Wilmington, NC 28411",Wilmington,NC,28411,No,Yes,Yes,2026-08-27T21:34:51+00:00,2026-08-27T21:34:51+00:00,+19105970332,www.wilmingtoneye.com,Madeline Brillhart,e3cb8ad6-cb75-480e-8113-e7e9114b9f45
